,Condominium Name,Location,Facilities,Financial Value,Service and Management,Environment
0,Hana,0.880943085,-0.224821615,0.620122008,0.303471845,0.460081796
1,Central Green Condominium,0.998017043,0,0.250588968,-0.963344425,0
2,The Tre Ver,0.678830955,0.999678373,0.546451102,0.655778102,0.055415183
3,The Scotts Tower,0.793682808,0.375491483,0.531570685,0.55724965,0.996514589
4,Aquarius By The Park,0.999383911,0.992669702,0.49903708,0.508806281,0
5,Hillview Green,0.42918006,0,0.332521465,-0.963344425,0
6,Mayfair Gardens,0.566272556,0.521000083,0.454768463,0.394301824,0.6346501
7,Vacanza @ East,0.719486035,0,0.526735691,0.115741962,0.992485881
8,Botanique At Bartley,0.598792501,0.48563356,0.672278602,0.405168098,0.997897595
9,The Lakeshore,0.330697673,0.423307484,0.265893362,0.472410134,0.510875257
10,Mirage Tower,0.626086265,0,0.270205942,-0.308999836,0
11,The Tate Residences,0.591423631,0.897777498,0.541615566,0.146865878,6.68E-06
12,The Calrose,0.999015361,0,0.221458972,-0.963344425,0
13,Double Bay Residences,0.742778298,0.617730031,0.083543711,0.026770282,0.902831872
14,Edelweiss Park Condominium,0.218914306,0,0.228255409,-0.982108045,-0.99966836
15,Sims Urban Oasis,0.551098719,0.438444506,0.564588688,0.337202302,0.352625394
16,Sophia Residence,0.896246236,0.999678016,0.453172899,-0.185427988,0.999687076
17,Orchid Park Condominium,-0.177560973,0,0.427427735,-0.963344425,0
18,Bartley Ridge,0.764799798,0.906614482,0.390113916,0.212219262,0.71048075
19,Eastvale,0.459008081,0.999284446,0.502430908,0.341424002,0
20,Daintree Residence,0.671556846,0.457910857,0.416070738,0.507666758,0.635302179
21,The Cascadia,0.759897634,0.452845546,0.244909322,-0.119439691,0.455338386
22,Pebble Bay,0.994492483,0,0.578482905,-0.482146338,0.999684691
23,The Oceanfront @ Sentosa Cove,0.522041884,0.658449113,0.34308324,0.606928521,0.998761058
24,The Lakefront Residences,0.820212418,0.763137242,0.631769189,0.575961185,0.337219357
25,Northoaks,0.998776484,0,0.333814369,-0.963344425,0
26,Regency Park,0.998958802,0,0.35583204,-0.963344425,0
27,Dahlia Park Condominium,0.999414257,0,0.508526996,-0.186523855,0.999684691
28,Nassim Regency,0.999280859,0,0.716287464,0.34451591,0.997634053
29,Symphony Suites,0.680018436,0.592354867,0.405190408,0.479413688,0.435408577
30,The Vision,0.661067137,0.962491314,0.320357387,0.36206593,0.499797657
31,Robin Residences,0.62606312,0.472810272,0.762560537,0.012193094,0.999423102
32,Emerald Garden,0.798026461,-0.553818178,0.47414791,0.073455662,0.999669552
33,Simei Green Condominium,0.999282777,0,0.427515754,-0.963344425,0
34,Hilltops,0.816825718,0.499578476,0.369742201,0.214434302,0.999547601
35,eCO,0.495259036,0.373886752,0.543184923,-0.104703102,0.998952538
36,Paterson Residence,0.640420535,0.65925828,0.415899025,0.364533896,0.777222057
37,Caribbean At Keppel Bay,0.565879917,0.599247257,0.490277705,0.566272212,0.738641014
38,The Terrace,0.748876628,0.386606187,0.722115024,0.625263107,0.999322951
39,Queens Peak,0.687243162,0.585846191,0.545105532,0.247047981,0.713573558
40,Casafina,0.795793067,0.999688387,0.248834298,0.508929096,0.999685645
41,The Seafront On Meyer,0.965498298,0.999687016,0.333814383,-0.309000989,0.999685287
42,Kovan Melody,0.671307201,0.942558122,0.209427197,0.01817058,0.23683538
43,Dover Parkview,0.694468859,0.425212187,0.51133141,0.460565305,0.989330888
44,Richmond Park,0.888091721,-0.05411303,0.393028967,0.554621392,0.749733165
45,Pine Grove,0.712937987,0.701140355,0.540078905,0.316409897,0.999144959
46,Kovan Regency,0.502854658,-0.00076586,0.315136123,-0.187808526,0.995907992
47,The Tessarina,0.796717279,0.564476859,0.237189974,-0.119712379,0.750392854
48,Orchard Scotts,0.826324691,0.12013156,0.303363664,0.309966902,-0.893955827
49,Marina Bay Suites,0.795955954,0.980382371,0.400232553,0.34530895,0.999685287
50,Thomson View Condominium,0.732642223,0.968353033,0.537995569,-0.133030551,0
51,Fifteen Robin,0.66002288,0.658258644,0.529684512,-0.18500942,0.999685287
52,TRE Residences,0.696471742,-0.187422727,0.523447618,0.238076589,-0.03878428
53,CityVista Residences,0.711145401,-0.999670565,0.114956943,-0.106234339,0
54,Tanjong Ria Condominium,0.998921514,0,0.221458972,-0.963344425,0
55,The Meyerise,0.814811859,0.813538892,0.619167543,0.267444313,0.974672616
56,Thomson Euro-asia,0.7804092,0,0.111332736,-0.963344425,0
57,The Quartz,0.270628698,0.928676054,0.304478775,-0.309000631,0.85507533
58,Yong An Park,0.998542024,0.997601449,0.610407341,0.459439776,0.999687076
59,Nathan Suites,0.99917225,0,0.597299939,-0.138201773,-0.997041434
60,The Suites At Central,0.999373749,0,0.35583204,-0.963344425,0
61,Cityscape @ Farrer Park,0.536261163,0.972074568,0.418994822,0.340990888,0.999684989
62,A Treasure Trove,0.703074385,0.720481217,0.408818905,0.345146467,0.855082482
63,Ballota Park Condominium,0.978242099,0,0.241868349,-0.963344425,0
64,Marina Bay Residences,0.847987653,0.929377337,0.834144377,0.508375682,0.166799247
65,Hillview Regency,0.797667807,0.929405987,0.568975929,0.506110266,0.71048063
66,Queens,0.771367728,0.94383086,0.465174675,0.642377312,0.237634559
67,Laguna 88,0.880077858,0.995516467,0.669235209,0.718659954,0.485150536
68,The Marq On Paterson Hill,0.687455913,-0.767277241,0.499871129,0.438792288,0.999672532
69,Riversound Residence,0.760377138,0.732261579,0.472838044,0.504239626,0.542444563
70,Dunearn Road,0.796175925,0.599296129,0.459165327,0.326681753,0.961001635
71,Parc Centros,0.665983352,0.860084385,0.398114079,0.437042253,0.71048075
72,Ardmore Residence,0.68756479,0.999686003,0.591629076,0.24890492,0
73,Cote D'Azur,0.657277831,0.998852909,0.602180779,0.242498723,0.014313519
74,Parc Oasis,0.538851263,0.475018338,0.60937754,0.372707511,0.616972456
75,Amber Gardens,0.696003465,0.497835741,0.428917331,0.265966102,0.402377787
76,The Inflora,0.892181731,0.887167305,0.498628517,-0.312757293,0.999687433
77,Faber Crest,0.64750627,0.699959541,0.267906398,0.427813402,0.99884095
78,Hume Park I,0.79660942,0,0.276870571,-0.309601625,0
79,Castle Green,0.576733398,0.620079239,0.364364243,0.420763527,0.662835027
80,Sol Acres,0.845628731,0.131217497,0.610314392,0.21390903,0
81,Tanglin Hill Condominium,0.626086265,0,0.197258151,0.018016487,0
82,Clydesview,0.849928576,0.998270869,0.617004457,0.345084051,0.992485881
83,Martin Place Residences,0.842178255,0.666490108,0.644103473,0.436493031,0.99968636
84,8 @ Mount Sophia,0.998960265,0,0.347396624,-0.963344425,0
85,Grange Residences,0.869567044,0.999678016,0.529227695,-0.481660321,0.999687076
86,Residences @ Evelyn,0.998921514,0,0.290545951,-0.312757254,0
87,The Gardens At Bishan,0.667627489,0.541221631,0.400707768,0.199428272,0.71048063
