,Condominium Name,Location,Facilities,Financial Value,Service and Management,Environment
0,The Berth By The Cove,0.440043596,0.999687433,0.514433538,0.436811498,-0.666085958
1,The Sea View,0.699299291,0.333008627,0.531421925,0.01813665,0.333594143
2,Azalea Park Condominium,0.998521779,0,0.292200674,-0.963344425,0
3,Duchess Manor,0.998751189,0,0.221458972,-0.963344425,0
4,Ris Grandeur,0.753582686,0,0.28180551,-0.309244295,0.999687791
5,One Amber,0.999361646,0,0.355839656,-0.309088568,0
6,La Fiesta,0.763082623,0.63270454,0.223501265,0.406848139,-0.185821235
7,Parc Stevens,0.99869935,0,0.221458972,-0.963344425,0
8,Park East,0.81596176,0.00059393,0.583156927,0.521616039,0.477994919
9,Eight Riversuites,0.267438943,0.134639859,0.202552066,0.018163785,0.855082542
10,SunGlade,0.669279158,0,0.386511586,-0.185925877,0.999684691
11,Urbana,0.86037581,0.998329759,0.842761944,0.585573658,0.713971989
12,Euro-Asia Park,0.710666025,0.999684572,0.710630897,0.345036546,0.999687076
13,The Palette,0.543475104,0.320165072,0.471520253,0.101398842,0.350225091
14,Urban Vista,0.605548617,-0.998856962,0.288579756,0.047792112,-0.332417409
15,The Glyndebourne,0.682711575,0,0.393100114,0.560911993,6.14E-05
16,Laguna Green,0.714329881,0,0.292200674,-0.963344425,0
17,Holland 100,0.997613996,0,0.250857905,-0.309000989,0.999685287
18,The Makena,0.832871805,0,0.620067161,-0.481660321,0
19,Yishun Emerald,0.978337833,0,0.491923307,0.011797895,0.999684691
20,Duchess Crest,0.998711492,0,0.221458972,-0.963344425,0
21,Gilstead Court,0.998709074,0,0.292200674,-0.963344425,0
22,Twin Waterfalls,0.999663413,0.01337415,0.498640388,0.257025205,0
23,Changi Court,0.331514458,0.989533037,0.645272322,0.017732278,0.444512904
24,The Coast at Sentosa Cove,0.586655033,0.703386396,0.44085531,0.670408855,0.998761058
25,Central Grove,0.981766593,0,0.275358833,-0.963344425,0
26,Hundred Trees,0.762544066,0,0.199209046,0.018171594,0.999685287
27,Harbour View Towers,0.742634279,0,0.292200674,-0.963344425,0
28,Ardmore Park,0.821168314,0,0.396989819,0.196972466,0
29,Blue Horizon,0.918940794,0.812893131,0.420987333,0.463404609,0.959115818
30,The Anchorage,0.638176201,0.656613638,0.508995623,0.373680934,0.394970351
31,Arc at Tampines,0.559068358,0.999094009,0.202263415,0.017562091,0
32,Shunfu Road,0.77947483,0.760551385,0.668624386,0.153000704,0.999685287
33,Seletar Park Residence,0.625625014,0.00027433,0.534373365,0.279039811,0.001544744
34,Skies Miltonia,0.731963791,0.49949827,0.698930982,0.465988175,0.999682886
35,Le Crescendo,0.998954877,0,0.355839656,0.135964465,0
36,Q Bay Residences,0.660240398,0.9996653,0.492606951,0.672303552,0.999084696
37,368 Thomson,0.610434921,0.520278859,0.273143705,0.340589874,-0.331465304
