,Condominium Name,Location,Facilities,Financial Value,Service and Management,Environment
0,Hana,0.5703454559499567,0.21846764534711838,0.24948330057991874,-0.19208357930183412,0.9996840953826904
1,Central Green Condominium,0.9083023200864377,0.0008020401000976562,0.6286466916402181,-0.1853913187980652,0.33354200919469196
2,The Tre Ver,0.8570329897543963,0.9996740818023682,0.5128095626831055,0.34082186222076416,0.9973796308040619
3,The Scotts Tower,0.842204049939201,0.9935818463563919,0.6559763926726121,0.45461467653512955,0.3332928617795308
4,Aquarius By The Park,0.7017645942313331,0.7143296599388123,0.6554868206745241,0.6975050889528714,0.9971651633580526
5,Hillview Green,0.7302576502164205,0.04329690337181091,0.3684542274900845,0.4385836805616106,0.40962353348731995
6,Mayfair Gardens,0.5308237820863724,0.0,0.3503763973712921,-0.9633444249629974,0.9988440871238708
7,Vacanza @ East,0.5742236351966858,-0.3491699516773224,0.33049147533920575,0.3116208344697952,0.9996849298477173
8,Botanique At Bartley,0.9965737938880921,0.0,0.355832040309906,-0.9633444249629974,0.0
9,The Lakeshore,0.6735440996976999,0.3777051493525505,0.6635782681405544,0.5053134560585022,-0.33146796623865765
10,Mirage Tower,0.5335136334101359,-0.005097001791000366,0.3303864569891067,0.15320252520697458,0.9996862411499023
11,The Tate Residences,0.7754287242889404,0.0,0.4398331940174103,-0.30899983644485474,0.0
12,The Calrose,0.9992078185081482,0.9942856431007385,0.34413619339466095,-0.48214633762836456,0.8690367043018341
13,Double Bay Residences,0.5559537852251971,0.9978502988815308,0.4635555376024807,0.4591887593269348,0.9996846914291382
14,Edelweiss Park Condominium,0.5609521740361264,-0.8404683470726013,0.24072836946558068,0.011357434093952179,0.9995864033699036
15,Sims Urban Oasis,0.97033212184906,0.0,0.2135036051273346,-0.9633444249629974,0.0
16,Sophia Residence,0.49937257170677185,0.0,0.33382003837161595,-0.9751018484433492,0.9996862411499023
17,Orchid Park Condominium,0.9203961881307455,-0.7288687229156494,0.47339239412424516,0.34325974186261493,0.9996870756149292
18,Bartley Ridge,0.9936165362596512,0.0,0.29220678589560767,-0.9633444249629974,0.0
19,Eastvale,0.9980170428752899,0.0,0.25058895349502563,-0.9633444249629974,0.0
20,Daintree Residence,0.9980170428752899,0.0,0.25058895349502563,-0.3259715437889099,0.0
21,The Cascadia,0.7777157425880432,0.0,0.9996647834777832,-0.9633444249629974,0.0
22,Pebble Bay,0.9991794347763061,0.0,0.2753588333725929,-0.9633444249629974,0.0
23,The Oceanfront @ Sentosa Cove,0.9980170428752899,0.0,0.25058895349502563,-0.9633444249629974,0.0
24,The Lakefront Residences,0.9993621468544006,0.0,0.2753588333725929,-0.9633444249629974,0.0
25,Northoaks,0.9986409544944763,0.0,0.536380830563997,0.21349530220031737,0.3335941433906555
26,Regency Park,0.7613723499434335,-0.33143970370292664,0.5693999095396562,0.21192071437835694,-0.0009107887744903564
27,Dahlia Park Condominium,0.6637124949031405,0.9990492463111877,0.5113551504909992,-0.30900639295578003,0.0
28,Nassim Regency,0.5471188908531552,0.33317063252131146,0.5906767229239146,-0.9633444249629974,0.0
29,Symphony Suites,0.7389591017434763,-0.861224889755249,0.4728182346321816,0.6348202716220509,0.9996846914291382
30,The Vision,0.8588874595505851,0.0,0.038040330012639366,0.017942115664482117,0.0
31,Robin Residences,0.3200421432654063,-0.9987215399742126,0.2277169589485441,-0.30904102325439453,0.0005461275577545166
32,Emerald Garden,0.9992643594741821,0.0,0.2753588333725929,-0.9633444249629974,0.0
33,Simei Green Condominium,0.9978167840412685,0.0,0.2922069051048972,-0.309601624806722,0.0
34,Hilltops,0.8912988752126694,0.9996684491634369,0.613180022239685,0.018161579966545105,0.0
35,eCO,0.7069200726202977,0.530933877355174,0.33171689102792334,0.3999125626352098,0.25075231607143694
36,Paterson Residence,0.9996801614761353,0.9996719360351562,0.6405535971417147,-0.30900539954503375,0.9996860027313232
37,Caribbean At Keppel Bay,0.9958638747533163,0.9996459484100342,0.1430768519639969,0.01697768270969391,-0.10358640551567078
38,The Terrace,0.900395436419381,0.8291446566581726,0.40061230384386504,-0.9633444249629974,0.0
39,Queens Peak,0.6696845625722131,0.1999250286155277,0.3801267600059509,0.3319891757435269,0.9843584820628166
40,Casafina,0.9703954798834664,0.9996795654296875,0.4955460652709007,-0.30988041559855145,0.0
41,The Seafront On Meyer,0.8578111263031655,-0.1049724987574986,0.18479746828476587,0.6070671260356904,0.00018168489138285318
42,Kovan Melody,0.6000771045684814,0.0,0.17219103234154837,-0.9633444249629974,0.0
43,Dover Parkview,0.8543657819430034,0.21450725197792053,0.7582952365642641,0.5435860982308021,0.4512021115847996
44,Richmond Park,0.9653667330741882,0.0,0.2753588333725929,-0.9633444249629974,0.0
45,Pine Grove,0.47109329217189067,0.0,0.4407094073295593,0.2138222336769104,0.9996852576732635
46,Kovan Regency,0.9980170428752899,0.0,0.25058895349502563,-0.9633444249629974,0.0
47,The Tessarina,0.5551797681384616,0.9996659159660339,0.28615214503728426,0.018167689442634583,0.9996781349182129
48,Orchard Scotts,0.9986454182200961,-0.9983211755752563,0.19692917346954344,0.0973154143853621,-0.9981220364570618
49,Marina Bay Suites,0.6538970569769541,0.3330491781234741,0.8077066721338214,0.43656231675829205,0.0
50,Thomson View Condominium,0.6761406389149752,0.6884048581123352,0.594233684539795,0.27453609875270296,0.3165638248125712
51,Fifteen Robin,0.9980170428752899,0.9979557991027832,0.29090220819820056,-0.9633444249629974,0.0
52,TRE Residences,0.7140889586063853,0.5507520682671491,0.4089085819820563,-0.05034534136454264,0.06917046958749945
53,CityVista Residences,0.7769036906607011,0.8288571075959639,0.5221491779970087,0.3748000050202394,0.33300405740737915
54,Tanjong Ria Condominium,0.7443784194834092,0.4325792223215103,0.45995796137842637,0.5634421838654412,0.6537487268447876
55,The Meyerise,0.7478175474838777,0.9996852874755859,0.7094047963619232,0.15299069029944284,0.25866682082414627
56,Thomson Euro-asia,0.6033294916152954,0.5010017156600952,0.4995326101779938,0.017465025186538696,0.0
57,The Quartz,0.6638867775599162,0.9991796612739563,0.40409305493036907,0.1467942340033395,0.003559112548828125
58,Yong An Park,0.5140440938649354,0.498479496549677,0.5432438769123771,0.48356231848398845,-0.33913817670610213
59,Nathan Suites,0.0,0.9980061650276184,0.5544685787624783,0.018169865012168884,0.0
60,The Suites At Central,0.999017093862806,0.0,0.22145897150039673,-0.9633444249629974,0.0
61,Cityscape @ Farrer Park,0.6110611081123352,0.9996792078018188,0.38504335513481724,-0.18563045263290406,-0.9968145489692688
62,A Treasure Trove,0.8791627079248429,-0.9967536330223083,0.5827382364693809,0.8931862130397703,0.9615774552027384
63,Ballota Park Condominium,0.7234120087491142,0.0,0.6283678639502752,0.24950019270181656,0.7119706954274859
64,Marina Bay Residences,0.99828622341156,-0.995413601398468,0.2753588333725929,-0.9633444249629974,0.0
65,Hillview Regency,0.9989504558699471,0.0,0.22145897150039673,-0.9633444249629974,0.0
66,Queens,0.7438519954681396,-0.9519579112529755,0.013271475831667582,0.01816655695438385,0.0
67,Laguna 88,0.47250617936600087,0.9996451437473297,0.43544879670326525,0.022099226713180542,-0.3234612676832411
68,The Marq On Paterson Hill,0.42671277693339754,0.9893410205841064,0.3466270208358765,-0.30900639295578003,0.9950480163097382
69,Riversound Residence,0.796763933130673,0.6356849778782238,0.33203595379988354,0.34103402826521134,0.19960098266601561
70,Dunearn Road,0.29209184274077415,0.4322187049048288,0.22008249163627625,0.1679051568110784,0.9032735228538513
71,Parc Centros,0.3466123474108708,0.0,0.7296450912952424,0.26707037538290024,0.0
72,Ardmore Residence,0.23620246465389544,-0.4365268627802531,0.1243115309625864,0.2614104151725769,-0.4161458828232505
73,Cote D'Azur,0.9980170428752899,0.0,0.1438825981957572,-0.9633444249629974,0.0
74,Parc Oasis,0.6383892978940692,0.0,0.2961058411104926,-0.011581063270568848,0.22782331705093384
75,Amber Gardens,0.6006445414141605,0.022220574892484225,0.3055360183423879,0.34273708679459314,0.4345407038927078
76,The Inflora,0.9054993361234664,-0.9987215399742126,0.47059492932425606,0.000947222113609314,0.9996858239173889
77,Faber Crest,0.8621469656626384,0.49776454269886017,0.6622299336372538,0.34532250960667926,0.9996858239173889
78,Hume Park I,0.3216920892397563,0.9996845722198486,0.5568533837795258,0.11330980724758571,0.1668001413345337
79,Castle Green,0.8393866036619458,0.0,0.6209053939039056,0.01812504231929779,0.0
80,Sol Acres,0.9919200837612152,0.9951896667480469,0.5430734356244405,-0.9633444249629974,0.9996854066848755
