,Condominium Name,Location,Facilities,Financial Value,Service and Management,Environment
100,Thomson Euro-asia,0,0,0,0,0
101,Dakota Residences,0.835281397,0.997601449,0.468775372,0.563353969,0.999106944
102,The Quartz,0,0,0,0,0
103,J Gateway,0.71258874,0.28542468,0.214357052,0.048626188,0.153855375
104,Yong An Park,0,0,0,0,0
105,The Sterling,0.628072981,0.99967587,0.550511236,0.116014247,0.999670029
106,Nathan Suites,0,0,0,0,0
107,The Suites At Central,0,0,0,0,0
108,Cityscape @ Farrer Park,0,0,0,0,0
109,A Treasure Trove,0,0,0,0,0
110,Ballota Park Condominium,0,0,0,0,0
111,The Vales,0.843828426,0.69130368,0.40310527,0.668787136,0.550672074
112,Marina Bay Residences,0,0,0,0,0
113,Hillview Regency,0,0,0,0,0
114,Queens,0,0,0,0,0
115,Laguna 88,0,0,0,0,0
116,The Marq On Paterson Hill,0,0,0,0,0
117,Riversound Residence,0,0,0,0,0
118,Dunearn Road,0,0,0,0,0
119,Parc Centros,0,0,0,0,0
120,Ardmore Residence,0,0,0,0,0
121,The Paterson,0.61896252,0.66165296,0.351765384,0.237726176,0.777222057
122,Cote D'Azur,0,0,0,0,0
123,The Skywoods,0.653540836,0.308275044,0.616798327,0.34136047,0.093029127
124,Parc Oasis,0,0,0,0,0
125,Villa Delle Rose,0.902772773,0.000482589,0.50709788,0.143646802,0.599509394
126,euHabitat,0.640391724,0.544185114,0.523774901,0.385795915,0.391182261
127,Mont Botanik Residence,0.821419919,-0.002587438,0.585174503,0.697051351,0.999684632
128,Amber Gardens,0,0,0,0,0
129,The Inflora,0,0,0,0,0
130,The Alps Residences,0.588661385,0.920608257,0.522504193,0.214343178,0.768283844
131,Bellewaters,0.670873826,0.213357264,0.381671204,0.163732716,0.99968636
135,River Place,0.788654362,0.623970587,0.491765693,0.311411843,0.430943835
133,Faber Crest,0,0,0,0,0
134,Clementi Park,0.592859808,0.240691562,0.421317781,0.249925509,-0.072659522
135,Coco Palms,0.672672542,0.505942803,0.451205684,0.12567329,0.519077782
136,Hume Park I,0,0,0,0,0
137,Castle Green,0,0,0,0,0
138,The Trillium,0.642921536,0.789618953,0.382920741,0.456100415,0.447771779
139,Commonwealth Towers,0.754558207,0.444201879,0.474270841,0.331324826,0.926979005
140,Sol Acres,0,0,0,0,0
141,Tanglin Hill Condominium,0,0,0,0,0
142,Clydesview,0,0,0,0,0
143,Pandan Valley,0.610946403,0.323002719,0.262421622,0.25917758,0.999471307
144,Martin Place Residences,0,0,0,0,0
145,Woodhaven,0.823877584,0.190581466,0.392612402,0.603360546,-0.331466337
146,Thomson Grand,0.78177263,0.950135946,0.472375067,0.25425989,0.200991642
147,8 @ Mount Sophia,0,0,0,0,0
148,Grange Residences,0,0,0,0,0
149,Residences @ Evelyn,0,0,0,0,0
150,Trilight,0.636519899,0.482092622,0.477844557,0.390864652,-0.332138906
151,The Gardens At Bishan,0,0,0,0,0
152,Cliveden At Grange,0,0,0,0,0
153,Reflections At Keppel Bay,0,0,0,0,0
154,Southaven II,0,0,0,0,0
155,Waterfront Key,0,0,0,0,0
156,Costa Del Sol,0.730983787,0.410361558,0.473456596,0.410587204,0.638315092
157,Springdale Condominium,0,0,0,0,0
158,The Gale,0,0,0,0,0
159,Waterview,0,0,0,0,0
160,The Hillside,0.578984643,0.776584228,0.578639963,0.360829806,0.654697871
161,Sims Avenue,0.522712147,0.542332179,0.45859934,0.283371849,0.402138344
162,Cube 8,0.581189394,0.000388771,0.334085664,0.606809777,0.666608363
163,Urban Suites,0.844312258,0.657971147,0.555544436,0.771184065,0.806849827
164,Palm Isles,0,0,0,0,0
165,Tembusu Grand,0.957526741,0.845523758,0.811980028,0.998076379,0.71048075
166,The Floravale,0.997870761,-0.031829298,0.533959326,-0.963344425,0.999686003
167,Woodgrove Condominium,0,0,0,0,0
168,Ripple Bay,0.519406286,0.932946076,0.480369249,0.018124864,0.71048075
169,Kovan Residences,0.795258399,-0.135328078,0.532302872,-0.233461348,0.111754179
170,The Bayshore,0.735894981,0.544185114,0.588779196,0.283367753,0.622990658
171,Lakeville,0.686705682,0.312094132,0.583432869,-0.121230106,0.001316443
172,Signature At Yishun,0.818203659,0.496607323,0.703883468,0.704869533,0.671579619
173,Corals At Keppel Bay,0,0,0,0,0
174,The Wharf Residence,0,0,0,0,0
175,Modena,0.435504679,0.643969893,0.263497687,0.418932423,0.356921222
176,Hillcrest Arcadia,0,0,0,0,0
177,The Foresta @ Mount Faber,0.608293248,0.99968032,0.452400232,0.009091265,0.555700514
178,Eastpoint Green,0,0,0,0,0
179,City Square Residences,0.45437201,0.929547414,0.218827446,0.258449063,0.902977069
180,Botannia,0.766702589,0.998198271,0.536849716,0.012107521,0.999684155
181,Eco Sanctuary,0.467450557,0.603455842,0.541308975,0.08995115,0.506906426
182,The Ladyhill,0.607158107,0.499174088,0.514976532,0.343655725,0.429414392
183,Ridgewood,0.67589244,0.999682665,0.482216795,0.17189778,0.99967885
184,Avila Gardens,0,0,0,0,0
185,Goldenhill Park Condominium,0,0,0,0,0
186,The Sound,0,0,0,0,0
187,OUE Twin Peaks,0.755397841,0.527520109,0.645312752,0.635064431,0.845595313
188,Eight Courtyards,0.750645762,0.860084265,0.139771731,0.590490824,0.71048075
189,Versilia On Haig,0,0,0,0,0
190,Far Horizon Garden,0.997535566,0.997532487,0.32641361,-0.485520974,0.999680758
