,Condominium Name,Location,Facilities,Financial Value,Service and Management,Environment
0,The Amore,0.7692630255923552,-0.07899782749322745,0.43955373147438315,0.20460168719291688,0.9953514933586121
1,Draycott Eight,0.0,0.0,0.0,0.0,0.0
2,YGK Garden,0.0,0.0,0.0,0.0,0.0
3,Bayville Condo,0.7496550567448139,0.0004627704620361328,0.32663467100688387,0.01815412938594818,0.33305923144022626
4,Stratford Court,0.0,0.0,0.0,0.0,0.0
5,Thomson Grove,0.7428617436777462,0.23121219873428345,0.1857848870754242,0.34525994459788006,0.14010345935821533
6,Villa Azura,0.0,0.0,0.0,0.0,0.0
7,Bishan Point,0.0,0.0,0.0,0.0,0.0
8,Seletar Springs Condominium,0.0,0.0,0.0,0.0,0.0
9,Parkshore,0.6347980697949728,-0.33322155475616455,0.48011053050005875,0.011571745077768961,0.9996846914291382
10,Belle Vue Residences,0.8611764826557853,0.27318789200349286,0.6305908907291501,0.09541403705423529,0.9994493921597799
11,Changi Green,0.0,0.0,0.0,0.0,0.0
12,Bullion Park,0.6477713783582052,0.4348433145454952,0.2918183758854866,0.10271915105672982,0.4210047616678126
13,Waterfront Isle,0.0,0.0,0.0,0.0,0.0
14,NV Residences,0.0,0.0,0.0,0.0,0.0
15,Amaranda Gardens,0.0,0.0,0.0,0.0,0.0
16,The Tembusu,0.7682875440670893,0.6384373763028313,0.7660373581780328,0.7367250323295593,0.9273840337991714
17,The Summit,0.0,0.0,0.0,0.0,0.0
18,The Hyde,0.6781783484030461,0.47731596657208036,0.4926060515505667,0.6511183749226963,0.7736665474043952
19,Loyang Townhouse,0.0,0.0,0.0,0.0,0.0
20,Livia,0.23450632393360138,0.8599892556667328,0.2354054473913633,0.2572699189186096,0.8550826609134674
21,Chuan Park,0.0,0.0,0.0,0.0,0.0
22,Riverbank @ Fernvale,0.0,0.0,0.0,0.0,0.0
23,Parc Imperial,0.0,0.0,0.0,0.0,0.0
24,The Orange Grove,0.0,0.0,0.0,0.0,0.0
25,Rosewood Suites,0.0,0.0,0.0,0.0,0.0
26,Piermont Grand,0.6955514415617912,0.7133764667170388,0.6038255453109741,0.009902040163675943,0.5207035541534424
27,The Residences at W Singapore Sentosa Cove,0.0,0.0,0.0,0.0,0.0
28,The Foliage,0.0,0.0,0.0,0.0,0.0
29,Haus On Handy,0.0,0.0,0.0,0.0,0.0
30,The Creek @ Bukit,0.6185585883530703,-0.1019938521915012,0.28255821977342876,0.17490181752613612,0.3772692935807364
31,Yishun Sapphire,0.0,0.0,0.0,0.0,0.0
32,Seletaris,0.0,0.0,0.0,0.0,0.0
33,Lakepoint Condominium,0.987311327457428,0.9996857643127441,0.40865639081368077,-0.18803365230560304,0.9996846914291382
34,Prince Charles Crescent,0.0,0.0,0.0,0.0,0.0
35,Meyer Park,0.0,0.0,0.0,0.0,0.0
36,Hallmark Residences,0.0,0.0,0.0,0.0,0.0
37,Treasure Crest,0.0,0.0,0.0,0.0,0.0
38,Starville,0.0,0.0,0.0,0.0,0.0
39,Treasure On Balmoral,0.0,0.0,0.0,0.0,0.0
40,Uber 388,0.0,0.0,0.0,0.0,0.0
41,Gramercy Park,0.0,0.0,0.0,0.0,0.0
42,Pollen & Bleu,0.0,0.0,0.0,0.0,0.0
43,The Rainforest,0.0,0.0,0.0,0.0,0.0
44,The Chuan,0.0,0.0,0.0,0.0,0.0
45,The Botanic on Lloyd,0.7344587910920382,-0.861224889755249,0.3072960274560111,0.21413546800613403,0.9996846914291382
46,The Stellar,0.8004809194995511,0.0004627704620361328,0.3135947040889574,0.2141885995864868,-0.00023555755615234375
47,Pasir View Park,0.0,0.0,0.0,0.0,0.0
48,Cardiff Residence,0.0,0.0,0.0,0.0,0.0
49,The Imperial,0.0,0.0,0.0,0.0,0.0
50,The Trumps,0.0,0.0,0.0,0.0,0.0
51,Bukit Regency,0.0,0.0,0.0,0.0,0.0
52,The Tropic Gardens,0.0,0.0,0.0,0.0,0.0
53,Fernwood Towers,0.0,0.0,0.0,0.0,0.0
54,Shelford Suites,0.0,0.0,0.0,0.0,0.0
