,Condominium Name,Location,Facilities,Financial Value,Service and Management,Environment
0,JadeScape,0.622822525,0.583847388,0.479571445,0.36091823,0.398122701
1,Hana,0,0,0,0,0
2,Central Green Condominium,0,0,0,0,0
3,The Blossomvale,0.791578581,0.672134846,0.542611654,0.610951424,0.799755955
4,The Tre Ver,0,0,0,0,0
5,Kingsford . Hillview Peak,0.615585368,0.999598354,0.317091971,0.671122412,0.999642511
6,The Scotts Tower,0,0,0,0,0
7,Aquarius By The Park,0,0,0,0,0
8,Hillview Green,0,0,0,0,0
9,Mayfair Gardens,0,0,0,0,0
10,Vacanza @ East,0,0,0,0,0
11,Esparina Residences,0.518022286,0.577771807,0.437999261,0.64249891,0.999651909
12,Botanique At Bartley,0,0,0,0,0
13,The Lakeshore,0,0,0,0,0
14,The Parc Condominium,0.633959752,0.395109185,0.468475358,0.378121812,0.523784326
15,Mirage Tower,0,0,0,0,0
16,Spring Grove,0.835461228,-0.052512381,0.556847058,-0.314107041,-0.986075938
17,The Tate Residences,0,0,0,0,0
18,The Calrose,0,0,0,0,0
19,Double Bay Residences,0,0,0,0,0
20,Valley Park,0.668867732,0.47386492,0.528818295,0.414350839,0.964348104
21,Edelweiss Park Condominium,0,0,0,0,0
22,Sims Urban Oasis,0,0,0,0,0
23,Waterbay,0.623472413,0.314626177,0.418994356,0.508743115,4.53E-05
24,Sophia Residence,0,0,0,0,0
25,Orchid Park Condominium,0,0,0,0,0
26,Bartley Ridge,0,0,0,0,0
27,The Gazania,0.920016532,0.99915645,0.578878623,0.407457417,0.97157301
28,Costa Rhu,0.707324624,-0.139151812,0.361625942,0.153174239,0.855083853
29,Eastvale,0,0,0,0,0
30,D'Leedon,0.699145547,0.61989962,0.484246292,0.309761726,0.455708786
31,Citylights,0.61940651,0.428755334,0.47151188,0.505188979,0.739027463
32,Highline Residences,0.856007745,-0.076682256,0.442011754,-0.097527623,0.92603381
33,Daintree Residence,0,0,0,0,0
34,The Cascadia,0,0,0,0,0
35,Pebble Bay,0,0,0,0,0
36,The Oceanfront @ Sentosa Cove,0,0,0,0,0
37,Maplewoods,0.419285152,0.567418621,0.268696252,0.225071275,0.684411245
38,The Lakefront Residences,0,0,0,0,0
39,Aspen Heights,0.636782446,0.04912656,0.512837455,0.528368638,0.502026655
40,Sanctuary Green,0.64719938,0.161834968,0.338964854,0.406944726,0.191241458
41,Signature Park,0.561638647,0.470179279,0.307889288,0.303280946,-0.03398174
42,Northoaks,0,0,0,0,0
43,Westcove Condominium,0.996068497,0.001219243,0.29260436,0.214471352,-0.99775064
44,Forest Woods,0.642713773,0.001693904,0.635907558,0.348998658,0.994994652
45,Regency Park,0,0,0,0,0
