Rating,Date,Content
Rating: 0,"Posted on March 17, 2023 by Quek Tseng","With a kid studying in the Bukit Timah area, this property is far enough from the madding crowd, yet a stone's throw from the eateries, neighbourhood malls and beautiful hil wak"
Rating: 0,"Posted on March 17, 2023 by Jason Yuan",Terrible condo with a very unimpressive entrance. Lots of noise from the road. Do not expect much peace and quiet here. Traffic is abysmal as well. Property isn't tall and...
Rating: 4.2,"Posted on March 16, 2023 by  ",Love the greens and the swimming pool is a plus.My unit is high rise but not facing the mrt.The noise does not bother me at all .Especially when the door is closed hardly can...
Rating: 4.7,"Posted on March 16, 2023 by free wififr",5 mins walk to 85 Market with famous hawker stall round the clock. 5 mins door-to-door to Anglican High School. Food factory a stone throw(10 mins walk) away to buy freshest...
Rating: 3.8,"Posted on March 16, 2023 by Lim Ming",Been living in the condo since 2016 and boy am i suprised with the negative reviews. The bad reviews are from disgruntled ex-residents who cant get their way with the council...
Rating: 4,"Posted on March 15, 2023 by Julia Cai","Really enjoy the convenience and easy access to GWC mrt, buses, malls, groceries and eating places.  The neighbourhood has  a good vibe - right in town but safe.  Once inside my..."
Rating: 2.3,"Posted on March 14, 2023 by Taka Shiba","Due to its convenient location, I have been living here for many years. However, after a staff member who had been diligent in maintenance left last year, and management was..."
Rating: 1.2,"Posted on March 14, 2023 by  ","This condo used to be a good place to live but the HDB construction started, the noise and dust is a huge issue. The only open green view is going to go away soon"
Rating: 5,"Posted on March 13, 2023 by  ",fantastic sea view! Quiet and therapeutic. No noisy kids and irresponsible dog owners
Rating: 5,"Posted on March 13, 2023 by  ",I have stayed here for the past 2 years and I must say this Condo is very well maintained. They put alot of effort into the landscaping.The Management and Security Personnel are...
Rating: 5,"Posted on March 13, 2023 by Kunal Kundaje",Excellent Location. Family friendly
Rating: 5,"Posted on March 11, 2023 by Amos T","Well maintained, good location"
Rating: 1,"Posted on March  8, 2023 by Bjorn Borg","Just got results that the privatisation did NOT go through, so the land is still own by MOF. Residents need to fork out $133 million just to privatise, and even then, it's not a..."
Rating: 5,"Posted on March  8, 2023 by Edwin Ong",A great development for ownstay and investment
