Name,Rating,Date,Content
Southaven I,Rating: 0,"Posted on March 17, 2023 by Quek Tseng","With a kid studying in the Bukit Timah area, this property is far enough from the madding crowd, yet a stone's throw from the eateries, neighbourhood malls and beautiful hil wak"
Viz at Holland,Rating: 0,"Posted on March 17, 2023 by Jason Yuan",Terrible condo with a very unimpressive entrance. Lots of noise from the road. Do not expect much peace and quiet here. Traffic is abysmal as well. Property isn't tall and...
The Glades,Rating: 4.2,"Posted on March 16, 2023 by  ",Love the greens and the swimming pool is a plus.My unit is high rise but not facing the mrt.The noise does not bother me at all .Especially when the door is closed hardly can...
Tanamera Crest,Rating: 4.7,"Posted on March 16, 2023 by free wififr",5 mins walk to 85 Market with famous hawker stall round the clock. 5 mins door-to-door to Anglican High School. Food factory a stone throw(10 mins walk) away to buy freshest...
H2O Residences,Rating: 3.8,"Posted on March 16, 2023 by Lim Ming",Been living in the condo since 2016 and boy am i suprised with the negative reviews. The bad reviews are from disgruntled ex-residents who cant get their way with the council...
Kellock Lodge,Rating: 4,"Posted on March 15, 2023 by Julia Cai","Really enjoy the convenience and easy access to GWC mrt, buses, malls, groceries and eating places.  The neighbourhood has  a good vibe - right in town but safe.  Once inside my..."
Liang Seah Place,Rating: 2.3,"Posted on March 14, 2023 by Taka Shiba","Due to its convenient location, I have been living here for many years. However, after a staff member who had been diligent in maintenance left last year, and management was..."
Tanglin View,Rating: 1.2,"Posted on March 14, 2023 by  ","This condo used to be a good place to live but the HDB construction started, the noise and dust is a huge issue. The only open green view is going to go away soon"
Cape Royale,Rating: 5,"Posted on March 13, 2023 by  ",fantastic sea view! Quiet and therapeutic. No noisy kids and irresponsible dog owners
The Shore Residences,Rating: 5,"Posted on March 13, 2023 by  ",I have stayed here for the past 2 years and I must say this Condo is very well maintained. They put alot of effort into the landscaping.The Management and Security Personnel are...
Tanjong Ria Condominium,Rating: 5,"Posted on March 13, 2023 by Kunal Kundaje",Excellent Location. Family friendly
Martin Place Residences,Rating: 5,"Posted on March 11, 2023 by Amos T","Well maintained, good location"
Neptune Court,Rating: 1,"Posted on March  8, 2023 by Bjorn Borg","Just got results that the privatisation did NOT go through, so the land is still own by MOF. Residents need to fork out $133 million just to privatise, and even then, it's not a..."
Whistler Grand,Rating: 5,"Posted on March  8, 2023 by Edwin Ong",A great development for ownstay and investment
Casa Cairnhill,Rating: 0,"Posted on March  7, 2023 by Robert Hsieh",Resident's unleased dog is always using the common areas as a toilet. Dog Faeces and Urine are not properly cleaned up .Dog is always chasing residents. Management never does...
Sophia Residence,Rating: 5,"Posted on March  6, 2023 by Mrs. Lee","Convenient side gate location which immediately leads you right next to SOTA. 7 minutes walk to Dhoby Ghaut MRT, 2 minutes walk from SMU. Wonderful neighbors and lovely..."
Ripple Bay,Rating: 4.3,"Posted on March  5, 2023 by Ah Jian",Resort feel environment & design. Very close to the beach. Tranquil place.
Harbour Suites @ Kampong Bahru,Rating: 5,"Posted on March  5, 2023 by Evelyn Sam","Convenient, practical, full privacy, bus stop just outside, walk to Keppel MRT, peaceful surroundings. Covered & well maintained lap pool, gym, bbq area, decent for inner-city..."
Fernhill Residences,Rating: 1,"Posted on March  5, 2023 by JD DJ",Would not recommend staying here. Landlord of entire building (who stays on ground floor) does not give adequate privacy to residents. Questions your guests. Deliveries are not...
The Montage,Rating: 5,"Posted on March  5, 2023 by Matthias Ong","Its been great. Nice little community. MA and Committee is good. Very windy and cool, plus a special little park unbeknown to many for your little daily walks or for kids to..."
Le Royce,Rating: 5,"Posted on March  5, 2023 by Sara Ramachandran",It’s a home. Relaxed n peaceful once u step into Le Royce. You can hardly hear the hustle n bustle of the outside environment. Friendly n helpful neighbours is a plus point...
Ballota Park Condo,Rating: 5,"Posted on March  4, 2023 by alice lim",Peaceful with lots of greenery. Good for kids' growing up environment with fresh air and plenty of trees for good eyesight. Family friendly location at an affordable price. No...
Country Esquire,Rating: 4,"Posted on March  4, 2023 by Kai Kuan Chen",Location is very good. Close to good school and MRT station.  Private and quite. Freehold and good size well designed apartment. Master bedroom is very spacious.
The Sunnydale,Rating: 4,"Posted on March  3, 2023 by Rakesh Venkatesen","Good place to live, low density, quite, great place for family, near to amenities and 2 MRT station, close to Nex Mall/ Bus interchange, etc."
The Sunnydale,Rating: 4,"Posted on March  3, 2023 by Rakesh Venkatesen","Good place to live, low density, quite, great place for family, near to amenities and 2 MRT station, close to Nex Mall/ Bus interchange, etc."
Twin VEW,Rating: 0,"Posted on March  2, 2023 by SP Ang","Many plus points about this project. This project is super windy. Wind is coming in from all directions. Throughout our stay since TOP, we have only switch on the aircon once or..."
Bayshore Park,Rating: 1.8,"Posted on March  1, 2023 by aniruddha maitra","Poorly maintained - water leakage, power disconnection. 36 hours of power outage"
Parc Centennial,Rating: 4.7,"Posted on March  1, 2023 by  ",Good location in District 9. Freehold & easy access to Newton & Novena MRT. Orchard Road shopping is just nearby. Short stroll to United Square & Novena Velocity / Square 2 for...
Fourth Avenue Residences,Rating: 0,"Posted on February 26, 2023 by  ","Everything good , perfect ! .. Got karaoke ,  got part time maid provided"
The Tresor,Rating: 5,"Posted on February 26, 2023 by Champ Eight",Ticks all the boxes for family living in a great location.
iResidences,Rating: 5,"Posted on February 25, 2023 by Dorothy Neo","Considering the project is just at the borders of D11, the price that you are paying is definitely worth the investment. As compared to Domus, it has more functional layout. No..."
The Greenwich,Rating: 0,"Posted on February 25, 2023 by CHEN SING",Amazing place to live in. The high ceiling is a big plus giving the feel of spaciousness and airiness in the unit. There is a mall right next to it which makes it all the more...
Fernwood Towers,Rating: 2.7,"Posted on February 25, 2023 by Ax Ying","Convenient - near to many amenities: East Coast Park, Eateries, Supermarkets, Bus stops with many buses serving them, Near to Siglap MRT, quick access to ECP"
Paradise Palms,Rating: 1,"Posted on February 24, 2023 by  ","The condo has a small swimming pool and basketball court, a tennis court and a gym. The overall look of all facilities seem to be down and lack of maintenance. The pool is only..."
