,Name,Rating,Date,Content,score,sentiment
0,Southaven I,0.0,"Posted on March 17, 2023 by Quek Tseng","With a kid studying in the Bukit Timah area, this property is far enough from the madding crowd, yet a stone's throw from the eateries, neighbourhood malls and beautiful hil wak",0.5994,Positive
1,Viz at Holland,0.0,"Posted on March 17, 2023 by Jason Yuan",Terrible condo with a very unimpressive entrance. Lots of noise from the road. Do not expect much peace and quiet here. Traffic is abysmal as well. Property isn't tall and...,-0.761,Negative
2,The Glades,4.2,"Posted on March 16, 2023 by  ",Love the greens and the swimming pool is a plus.My unit is high rise but not facing the mrt.The noise does not bother me at all .Especially when the door is closed hardly can...,0.6315,Positive
3,Tanamera Crest,4.7,"Posted on March 16, 2023 by free wififr",5 mins walk to 85 Market with famous hawker stall round the clock. 5 mins door-to-door to Anglican High School. Food factory a stone throw(10 mins walk) away to buy freshest...,-0.2023,Negative
4,H2O Residences,3.8,"Posted on March 16, 2023 by Lim Ming",Been living in the condo since 2016 and boy am i suprised with the negative reviews. The bad reviews are from disgruntled ex-residents who cant get their way with the council...,-0.802,Negative
5,Kellock Lodge,4.0,"Posted on March 15, 2023 by Julia Cai","Really enjoy the convenience and easy access to GWC mrt, buses, malls, groceries and eating places.  The neighbourhood has  a good vibe - right in town but safe.  Once inside my...",0.84,Positive
6,Liang Seah Place,2.3,"Posted on March 14, 2023 by Taka Shiba","Due to its convenient location, I have been living here for many years. However, after a staff member who had been diligent in maintenance left last year, and management was...",0.0,Neutral
7,Tanglin View,1.2,"Posted on March 14, 2023 by  ","This condo used to be a good place to live but the HDB construction started, the noise and dust is a huge issue. The only open green view is going to go away soon",0.5994,Positive
8,Cape Royale,5.0,"Posted on March 13, 2023 by  ",fantastic sea view! Quiet and therapeutic. No noisy kids and irresponsible dog owners,0.3632,Positive
9,The Shore Residences,5.0,"Posted on March 13, 2023 by  ",I have stayed here for the past 2 years and I must say this Condo is very well maintained. They put alot of effort into the landscaping.The Management and Security Personnel are...,0.5849,Positive
10,Tanjong Ria Condominium,5.0,"Posted on March 13, 2023 by Kunal Kundaje",Excellent Location. Family friendly,0.7845,Positive
11,Martin Place Residences,5.0,"Posted on March 11, 2023 by Amos T","Well maintained, good location",0.6124,Positive
12,Neptune Court,1.0,"Posted on March  8, 2023 by Bjorn Borg","Just got results that the privatisation did NOT go through, so the land is still own by MOF. Residents need to fork out $133 million just to privatise, and even then, it's not a...",0.0,Neutral
13,Whistler Grand,5.0,"Posted on March  8, 2023 by Edwin Ong",A great development for ownstay and investment,0.6249,Positive
14,Casa Cairnhill,0.0,"Posted on March  7, 2023 by Robert Hsieh",Resident's unleased dog is always using the common areas as a toilet. Dog Faeces and Urine are not properly cleaned up .Dog is always chasing residents. Management never does...,0.0,Neutral
15,Sophia Residence,5.0,"Posted on March  6, 2023 by Mrs. Lee","Convenient side gate location which immediately leads you right next to SOTA. 7 minutes walk to Dhoby Ghaut MRT, 2 minutes walk from SMU. Wonderful neighbors and lovely...",0.8176,Positive
16,Ripple Bay,4.3,"Posted on March  5, 2023 by Ah Jian",Resort feel environment & design. Very close to the beach. Tranquil place.,0.0516,Positive
17,Harbour Suites @ Kampong Bahru,5.0,"Posted on March  5, 2023 by Evelyn Sam","Convenient, practical, full privacy, bus stop just outside, walk to Keppel MRT, peaceful surroundings. Covered & well maintained lap pool, gym, bbq area, decent for inner-city...",0.6486,Positive
18,Fernhill Residences,1.0,"Posted on March  5, 2023 by JD DJ",Would not recommend staying here. Landlord of entire building (who stays on ground floor) does not give adequate privacy to residents. Questions your guests. Deliveries are not...,-0.4168,Negative
19,The Montage,5.0,"Posted on March  5, 2023 by Matthias Ong","Its been great. Nice little community. MA and Committee is good. Very windy and cool, plus a special little park unbeknown to many for your little daily walks or for kids to...",0.9333,Positive
20,Le Royce,5.0,"Posted on March  5, 2023 by Sara Ramachandran",It’s a home. Relaxed n peaceful once u step into Le Royce. You can hardly hear the hustle n bustle of the outside environment. Friendly n helpful neighbours is a plus point...,0.9081,Positive
21,Ballota Park Condo,5.0,"Posted on March  4, 2023 by alice lim",Peaceful with lots of greenery. Good for kids' growing up environment with fresh air and plenty of trees for good eyesight. Family friendly location at an affordable price. No...,0.9349,Positive
22,Country Esquire,4.0,"Posted on March  4, 2023 by Kai Kuan Chen",Location is very good. Close to good school and MRT station.  Private and quite. Freehold and good size well designed apartment. Master bedroom is very spacious.,0.9072,Positive
23,The Sunnydale,4.0,"Posted on March  3, 2023 by Rakesh Venkatesen","Good place to live, low density, quite, great place for family, near to amenities and 2 MRT station, close to Nex Mall/ Bus interchange, etc.",0.7346,Positive
24,The Sunnydale,4.0,"Posted on March  3, 2023 by Rakesh Venkatesen","Good place to live, low density, quite, great place for family, near to amenities and 2 MRT station, close to Nex Mall/ Bus interchange, etc.",0.7346,Positive
25,Twin VEW,0.0,"Posted on March  2, 2023 by SP Ang","Many plus points about this project. This project is super windy. Wind is coming in from all directions. Throughout our stay since TOP, we have only switch on the aircon once or...",0.7531,Positive
26,Bayshore Park,1.8,"Posted on March  1, 2023 by aniruddha maitra","Poorly maintained - water leakage, power disconnection. 36 hours of power outage",0.0,Neutral
27,Parc Centennial,4.7,"Posted on March  1, 2023 by  ",Good location in District 9. Freehold & easy access to Newton & Novena MRT. Orchard Road shopping is just nearby. Short stroll to United Square & Novena Velocity / Square 2 for...,0.8519,Positive
28,Fourth Avenue Residences,0.0,"Posted on February 26, 2023 by  ","Everything good , perfect ! .. Got karaoke ,  got part time maid provided",0.784,Positive
29,The Tresor,5.0,"Posted on February 26, 2023 by Champ Eight",Ticks all the boxes for family living in a great location.,0.6249,Positive
30,iResidences,5.0,"Posted on February 25, 2023 by Dorothy Neo","Considering the project is just at the borders of D11, the price that you are paying is definitely worth the investment. As compared to Domus, it has more functional layout. No...",0.5574,Positive
31,The Greenwich,0.0,"Posted on February 25, 2023 by CHEN SING",Amazing place to live in. The high ceiling is a big plus giving the feel of spaciousness and airiness in the unit. There is a mall right next to it which makes it all the more...,0.7351,Positive
32,Fernwood Towers,2.7,"Posted on February 25, 2023 by Ax Ying","Convenient - near to many amenities: East Coast Park, Eateries, Supermarkets, Bus stops with many buses serving them, Near to Siglap MRT, quick access to ECP",-0.1531,Negative
33,Paradise Palms,1.0,"Posted on February 24, 2023 by  ","The condo has a small swimming pool and basketball court, a tennis court and a gym. The overall look of all facilities seem to be down and lack of maintenance. The pool is only...",-0.3182,Negative
